crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-52.425369	3871	0.000000
281474976710655.000000	-133.270889	3872	0.000000
281474976710655.000000	-69.354095	3873	0.000000
281474976710655.000000	-44.439571	3874	0.000000
281474976710655.000000	-105.135887	3875	0.000000
281474976710655.000000	-68.099213	3876	0.000000
281474976710655.000000	-66.235054	3877	0.000000
281474976710655.000000	-65.724663	3878	0.000000
281474976710655.000000	-66.812920	3879	0.000000
281474976710655.000000	-67.031868	3880	0.000000
281474976710655.000000	-50.963360	3881	0.000000
281474976710655.000000	-67.631973	3882	0.000000
281474976710655.000000	-67.128853	3883	0.000000
281474976710655.000000	-71.815956	3884	0.000000
281474976710655.000000	-62.769501	3885	0.000000
281474976710655.000000	-43.359997	3886	0.000000
281474976710655.000000	-32.980267	3887	0.000000
281474976710655.000000	-64.320511	3888	0.000000
281474976710655.000000	-43.691673	3889	0.000000
281474976710655.000000	-69.983086	3890	0.000000
281474976710655.000000	-65.180069	3891	0.000000
281474976710655.000000	-64.860367	3892	0.000000
281474976710655.000000	-65.317787	3893	0.000000
281474976710655.000000	-69.178200	3894	0.000000
281474976710655.000000	-100.591721	3895	0.000000
281474976710655.000000	-63.784325	3896	0.000000
281474976710655.000000	-70.285049	3897	0.000000
281474976710655.000000	-68.237846	3898	0.000000
281474976710655.000000	-64.093422	3899	0.000000
281474976710655.000000	-49.519588	3900	0.000000
281474976710655.000000	-98.736732	3901	0.000000
281474976710655.000000	-62.276115	3902	0.000000
281474976710655.000000	-42.735466	3903	0.000000
281474976710655.000000	-63.225716	3904	0.000000
281474976710655.000000	-64.123825	3905	0.000000
281474976710655.000000	-66.841095	3906	0.000000
281474976710655.000000	-96.893814	3907	0.000000
281474976710655.000000	-62.353672	3908	0.000000
281474976710655.000000	-64.103981	3909	0.000000
281474976710655.000000	-61.736362	3910	0.000000
281474976710655.000000	-97.149673	3911	0.000000
281474976710655.000000	-61.783630	3912	0.000000
281474976710655.000000	-62.525364	3913	0.000000
281474976710655.000000	-61.135181	3914	0.000000
281474976710655.000000	-66.507431	3915	0.000000
281474976710655.000000	-61.786041	3916	0.000000
281474976710655.000000	-63.325493	3917	0.000000
281474976710655.000000	-60.200638	3918	0.000000
281474976710655.000000	-62.088882	3919	0.000000
281474976710655.000000	-60.795193	3920	0.000000
281474976710655.000000	-66.213867	3921	0.000000
281474976710655.000000	-59.656345	3922	0.000000
281474976710655.000000	-46.592670	3923	0.000000
281474976710655.000000	-93.830940	3924	0.000000
281474976710655.000000	-93.727074	3925	0.000000
281474976710655.000000	-64.688713	3926	0.000000
281474976710655.000000	-93.592781	3927	0.000000
281474976710655.000000	-39.699589	3928	0.000000
281474976710655.000000	-62.313679	3929	0.000000
281474976710655.000000	-58.784214	3930	0.000000
281474976710655.000000	-39.587776	3931	0.000000
281474976710655.000000	-90.939384	3932	0.000000
281474976710655.000000	-60.769386	3933	0.000000
281474976710655.000000	-114.891945	3934	0.000000
281474976710655.000000	-58.617805	3935	0.000000
281474976710655.000000	-38.243492	3936	0.000000
281474976710655.000000	-59.318962	3937	0.000000
281474976710655.000000	-57.340946	3938	0.000000
281474976710655.000000	-39.874573	3939	0.000000
281474976710655.000000	-57.741920	3940	0.000000
281474976710655.000000	-45.986332	3941	0.000000
281474976710655.000000	-89.420303	3942	0.000000
281474976710655.000000	-44.542191	3943	0.000000
281474976710655.000000	-44.905304	3944	0.000000
281474976710655.000000	-62.612602	3945	0.000000
281474976710655.000000	-56.410851	3946	0.000000
281474976710655.000000	-57.726288	3947	0.000000
281474976710655.000000	-38.640514	3948	0.000000
281474976710655.000000	-38.239216	3949	0.000000
281474976710655.000000	-56.030373	3950	0.000000
281474976710655.000000	-57.014881	3951	0.000000
281474976710655.000000	-112.686211	3952	0.000000
281474976710655.000000	-88.670761	3953	0.000000
281474976710655.000000	-55.615585	3954	0.000000
281474976710655.000000	-56.571602	3955	0.000000
281474976710655.000000	-55.269291	3956	0.000000
281474976710655.000000	-57.584225	3957	0.000000
281474976710655.000000	-54.967781	3958	0.000000
281474976710655.000000	-43.920990	3959	0.000000
281474976710655.000000	-83.346130	3960	0.000000
281474976710655.000000	-55.674606	3961	0.000000
281474976710655.000000	-42.743393	3962	0.000000
281474976710655.000000	-55.606125	3963	0.000000
281474976710655.000000	-40.900917	3964	0.000000
281474976710655.000000	-86.183319	3965	0.000000
281474976710655.000000	-53.852844	3966	0.000000
281474976710655.000000	-50.593513	3967	0.000000
281474976710655.000000	-70.056755	3968	0.000000
281474976710655.000000	-45.693211	3969	0.000000
281474976710655.000000	-70.582397	3970	0.000000
281474976710655.000000	-54.836021	3971	0.000000
281474976710655.000000	-51.833347	3972	0.000000
281474976710655.000000	-35.297440	3973	0.000000
281474976710655.000000	-53.124413	3974	0.000000
281474976710655.000000	-54.002151	3975	0.000000
281474976710655.000000	-40.505054	3976	0.000000
281474976710655.000000	-71.290176	3977	0.000000
281474976710655.000000	-40.537285	3978	0.000000
281474976710655.000000	-69.404816	3979	0.000000
281474976710655.000000	-52.221577	3980	0.000000
281474976710655.000000	-40.389683	3981	0.000000
281474976710655.000000	-52.228897	3982	0.000000
281474976710655.000000	-40.394981	3983	0.000000
281474976710655.000000	-68.442924	3984	0.000000
281474976710655.000000	-50.157745	3985	0.000000
281474976710655.000000	-50.291866	3986	0.000000
281474976710655.000000	-34.667313	3987	0.000000
281474976710655.000000	-50.469604	3988	0.000000
281474976710655.000000	-50.885353	3989	0.000000
281474976710655.000000	-37.972935	3990	0.000000
281474976710655.000000	-39.931961	3991	0.000000
281474976710655.000000	-54.905994	3992	0.000000
281474976710655.000000	-50.823589	3993	0.000000
281474976710655.000000	-48.626389	3994	0.000000
281474976710655.000000	-66.829185	3995	0.000000
281474976710655.000000	-53.132263	3996	0.000000
281474976710655.000000	-48.333168	3997	0.000000
281474976710655.000000	-43.908321	3998	0.000000
281474976710655.000000	-59.529041	3999	0.000000
281474976710655.000000	-40.938221	4000	0.000000
281474976710655.000000	-38.454113	4001	0.000000
281474976710655.000000	-64.698555	4002	0.000000
281474976710655.000000	-47.755116	4003	0.000000
281474976710655.000000	-56.248142	4004	0.000000
281474976710655.000000	-63.619255	4005	0.000000
281474976710655.000000	-47.471619	4006	0.000000
281474976710655.000000	-36.538017	4007	0.000000
281474976710655.000000	-72.747711	4008	0.000000
281474976710655.000000	-47.036327	4009	0.000000
281474976710655.000000	-42.661831	4010	0.000000
281474976710655.000000	-45.047523	4011	0.000000
281474976710655.000000	-70.638756	4012	0.000000
281474976710655.000000	-45.309067	4013	0.000000
281474976710655.000000	-37.262852	4014	0.000000
281474976710655.000000	-40.386929	4015	0.000000
281474976710655.000000	-55.319519	4016	0.000000
281474976710655.000000	-44.896263	4017	0.000000
281474976710655.000000	-40.070522	4018	0.000000
281474976710655.000000	-45.201054	4019	0.000000
281474976710655.000000	-44.406254	4020	0.000000
281474976710655.000000	-33.900677	4021	0.000000
